iso_code,country,hdi_cat,hdi_2019
AFG,Afghanistan,Low,0.511
ALB,Albania,High,0.795
DZA,Algeria,High,0.748
AND,Andorra,Very High,0.868
AGO,Angola,Medium,0.581
AIA,Anguilla,No Category,-1.000
ATA,Antarctica,No Category,-1.000
ATG,Antigua and Barbuda,High,0.778
ARG,Argentina,Very High,0.845
ARM,Armenia,High,0.776
ABW,Aruba,No Category,-1.000
AUS,Australia,Very High,0.944
AUT,Austria,Very High,0.922
AZE,Azerbaijan,High,0.756
BHS,Bahamas,Very High,0.814
BHR,Bahrain,Very High,0.852
BGD,Bangladesh,Medium,0.632
BRB,Barbados,Very High,0.814
BLR,Belarus,Very High,0.823
BEL,Belgium,Very High,0.931
BLZ,Belize,High,0.716
BEN,Benin,Low,0.545
BMU,Bermuda,No Category,-1.000
BTN,Bhutan,Medium,0.654
BOL,Bolivia (Plurinational State of),High,0.718
BES,Bonaire Sint Eustatius and Saba,No Category,-1.000
BIH,Bosnia and Herzegovina,High,0.780
BWA,Botswana,High,0.735
BRA,Brazil,High,0.765
VGB,British Virgin Islands,No Category,-1.000
BRN,Brunei Darussalam,Very High,0.838
BGR,Bulgaria,Very High,0.816
BFA,Burkina Faso,Low,0.452
BDI,Burundi,Low,0.433
KHM,Cambodia,Medium,0.594
CMR,Cameroon,Medium,0.563
CAN,Canada,Very High,0.929
CPV,Cabo Verde,Medium,0.665
CAF,Central African Republic,Low,0.397
TCD,Chad,Low,0.398
CHL,Chile,Very High,0.851
CHN,China,High,0.761
CXR,Christmas Island,No Category,-1.000
COL,Colombia,High,0.767
COM,Comoros,Medium,0.554
COG,Congo,Medium,0.574
COK,Cook Islands,No Category,-1.000
CRI,Costa Rica,Very High,0.810
CIV,C™te d'Ivoire,Low,0.538
HRV,Croatia,Very High,0.851
CUB,Cuba,High,0.783
CUW,Curacao,No Category,-1.000
CYP,Cyprus,Very High,0.887
CZE,Czechia,Very High,0.900
COD,Congo (Democratic Republic of the),Low,0.480
DNK,Denmark,Very High,0.940
DJI,Djibouti,Low,0.524
DMA,Dominica,High,0.742
DOM,Dominican Republic,High,0.756
ECU,Ecuador,High,0.759
EGY,Egypt,High,0.707
SLV,El Salvador,Medium,0.673
GNQ,Equatorial Guinea,Medium,0.592
ERI,Eritrea,Low,0.459
EST,Estonia,Very High,0.892
SWZ,Eswatini (Kingdom of),Medium,0.611
ETH,Ethiopia,Low,0.485
FRO,Faeroe Islands,No Category,-1.000
FJI,Fiji,High,0.743
FIN,Finland,Very High,0.938
FRA,France,Very High,0.901
GUF,French Guiana,No Category,-1.000
PYF,French Polynesia,No Category,-1.000
GAB,Gabon,High,0.703
GMB,Gambia,Low,0.496
GEO,Georgia,Very High,0.812
DEU,Germany,Very High,0.947
GHA,Ghana,Medium,0.611
