period_beginning_in,province, tubewells 
1964,punjab," 21,776 "
1965,punjab," 28,746 "
1966,punjab," 36,217 "
1967,punjab," 44,488 "
1968,punjab," 53,797 "
1969,punjab," 62,034 "
1970,punjab," 75,346 "
1971,punjab," 81,955 "
1972,punjab," 90,758 "
1973,punjab," 99,674 "
1974,punjab," 109,869 "
1975,punjab," 130,398 "
1976,punjab," 134,782 "
1977,punjab," 140,724 "
1978,punjab," 144,121 "
1979,punjab," 147,995 "
1980,punjab," 154,468 "
1981,punjab," 176,122 "
1982,punjab," 181,892 "
1983,punjab," 198,311 "
1984,punjab," 215,480 "
1985,punjab," 223,846 "
1986,punjab," 235,406 "
1987,punjab," 252,052 "
1988,punjab," 264,776 "
1989,punjab," 282,854 "
1990,punjab," 295,947 "
1991,punjab," 309,593 "
1992,punjab," 328,261 "
1993,punjab," 369,459 "
1994,punjab," 415,271 "
1995,punjab," 435,228 "
1996,punjab," 452,431 "
1997,punjab," 473,667 "
1998,punjab," 500,631 "
1999,punjab," 543,243 "
2000,punjab," 588,130 "
2001,punjab," 610,750 "
2002,punjab," 656,898 "
2003,punjab," 824,879 "
2004,punjab," 845,573 "
2005,punjab," 857,774 "
2006,punjab," 884,228 "
2007,punjab," 872,444 "
2008,punjab," 927,006 "
2009,punjab," 944,649 "
2010,punjab," 954,706 "
2011,punjab," 981,480 "
2012,punjab," 1,012,541 "
2013,punjab," 1,028,424 "
2014,punjab," 1,044,671 "
2015,punjab," 922,759 "
2016,punjab," 1,066,600 "
2017,punjab," 1,100,841 "
2018,punjab," 1,125,225 "
2019,punjab," 1,159,403 "
1964,sindh,
1965,sindh," 2,977 "
1966,sindh," 3,069 "
1967,sindh," 3,161 "
1968,sindh," 3,253 "
1969,sindh," 3,345 "
1970,sindh," 3,437 "
1971,sindh," 3,531 "
1972,sindh," 4,412 "
1973,sindh," 5,292 "
1974,sindh," 5,582 "
1975,sindh," 5,871 "
1976,sindh," 7,675 "
1977,sindh," 8,080 "
1978,sindh," 8,590 "
1979,sindh," 9,214 "
1980,sindh," 9,838 "
1981,sindh,
1982,sindh,
1983,sindh,
1984,sindh,
1985,sindh,
1986,sindh,
1987,sindh,
1988,sindh,
1989,sindh,
1990,sindh,
1991,sindh," 21,629 "
1992,sindh," 22,309 "
1993,sindh," 23,050 "
1994,sindh," 23,340 "
1995,sindh," 23,588 "
1996,sindh," 23,588 "
1997,sindh," 23,588 "
1998,sindh," 28,581 "
1999,sindh," 33,661 "
2000,sindh," 37,191 "
2001,sindh," 53,862 "
2002,sindh," 67,512 "
2003,sindh," 78,400 "
2004,sindh," 97,472 "
2005,sindh," 94,530 "
2006,sindh," 95,004 "
2007,sindh," 95,215 "
2008,sindh," 95,393 "
2009,sindh," 95,551 "
2010,sindh," 95,913 "
2011,sindh," 96,233 "
2012,sindh," 147,839 "
2013,sindh," 230,390 "
2014,sindh," 230,564 "
2015,sindh," 230,742 "
2016,sindh," 230,830 "
2017,sindh," 231,234 "
2018,sindh," 231,336 "
2019,sindh," 231,420 "
